                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
94,0.76696,0.53579,0.80383,0.83652,0.74706,0.83089,0.6358,0.74522,0.5436,0.80001,0.003928,0.003928,0.003928
95,0.76873,0.53351,0.80181,0.82362,0.76634,0.83283,0.63843,0.74442,0.53877,0.79981,0.003862,0.003862,0.003862
96,0.76318,0.5305,0.80176,0.81874,0.76255,0.83394,0.63782,0.74458,0.53917,0.79993,0.003796,0.003796,0.003796
97,0.76041,0.52856,0.8052,0.81576,0.7665,0.83263,0.63858,0.74308,0.5394,0.79969,0.00373,0.00373,0.00373
98,0.75198,0.52143,0.79935,0.84383,0.74998,0.8355,0.64002,0.7429,0.53704,0.79971,0.003664,0.003664,0.003664
99,0.74854,0.51373,0.8031,0.8174,0.77112,0.83722,0.64021,0.74431,0.53558,0.79983,0.003598,0.003598,0.003598
100,0.75261,0.51493,0.80256,0.80776,0.77652,0.8372,0.6415,0.74302,0.53513,0.7997,0.003532,0.003532,0.003532
101,0.74413,0.51193,0.80005,0.81085,0.77604,0.83746,0.64121,0.74228,0.53552,0.79969,0.003466,0.003466,0.003466
102,0.74909,0.51162,0.80045,0.83932,0.75451,0.83819,0.64119,0.74356,0.53562,0.79977,0.0034,0.0034,0.0034
103,0.74257,0.50082,0.8021,0.8446,0.75469,0.83994,0.64232,0.74366,0.53694,0.79933,0.003334,0.003334,0.003334
104,0.74258,0.50549,0.79682,0.83572,0.75774,0.84002,0.64172,0.74397,0.53626,0.79936,0.003268,0.003268,0.003268
105,0.73531,0.49387,0.80082,0.84814,0.75912,0.84041,0.64356,0.74467,0.53536,0.79957,0.003202,0.003202,0.003202
106,0.74372,0.50072,0.79972,0.84381,0.75984,0.84115,0.64293,0.74509,0.53365,0.79955,0.003136,0.003136,0.003136
107,0.74458,0.49519,0.79888,0.8451,0.76061,0.84087,0.64225,0.74574,0.53352,0.79941,0.00307,0.00307,0.00307
108,0.72506,0.48959,0.79898,0.83038,0.76929,0.84207,0.64367,0.74551,0.53111,0.7995,0.003004,0.003004,0.003004
109,0.73622,0.49603,0.79808,0.83688,0.7698,0.84286,0.64346,0.74509,0.53034,0.79981,0.002938,0.002938,0.002938
110,0.72554,0.47627,0.79849,0.82929,0.77923,0.84383,0.64461,0.7453,0.53009,0.79992,0.002872,0.002872,0.002872
111,0.72337,0.47797,0.79483,0.84317,0.76641,0.8439,0.64484,0.74431,0.5301,0.79984,0.002806,0.002806,0.002806
112,0.73193,0.48067,0.79805,0.84996,0.76141,0.84379,0.64533,0.74336,0.53138,0.79994,0.00274,0.00274,0.00274
113,0.71911,0.47219,0.79817,0.84136,0.76902,0.84334,0.64383,0.74285,0.53133,0.79999,0.002674,0.002674,0.002674
114,0.71181,0.46728,0.79952,0.83647,0.7691,0.84359,0.64383,0.74347,0.53045,0.80009,0.002608,0.002608,0.002608
115,0.72206,0.47464,0.79652,0.84541,0.76813,0.8432,0.64372,0.74377,0.53105,0.80008,0.002542,0.002542,0.002542
116,0.70907,0.46203,0.7965,0.84427,0.76494,0.843,0.64408,0.74359,0.52925,0.8,0.002476,0.002476,0.002476
117,0.70148,0.4552,0.79497,0.849,0.76,0.84376,0.64507,0.74236,0.52826,0.80005,0.00241,0.00241,0.00241
118,0.7068,0.45267,0.7989,0.84944,0.76341,0.84462,0.64604,0.74208,0.52707,0.8,0.002344,0.002344,0.002344
119,0.70924,0.45452,0.79613,0.85138,0.762,0.84476,0.64596,0.74237,0.526,0.79999,0.002278,0.002278,0.002278
120,0.70913,0.4581,0.79778,0.85229,0.76314,0.84549,0.6468,0.74203,0.5251,0.7998,0.002212,0.002212,0.002212
121,0.7044,0.45301,0.79609,0.84971,0.76258,0.84556,0.64724,0.74203,0.52405,0.79954,0.002146,0.002146,0.002146
122,0.69563,0.44325,0.79705,0.8531,0.76019,0.84635,0.64786,0.74199,0.52266,0.79937,0.00208,0.00208,0.00208
123,0.70143,0.44553,0.79484,0.85067,0.76078,0.84689,0.64753,0.7429,0.52211,0.79931,0.002014,0.002014,0.002014
124,0.70044,0.43981,0.79605,0.85028,0.76076,0.84714,0.64865,0.74261,0.52136,0.79925,0.001948,0.001948,0.001948
125,0.68766,0.43489,0.79657,0.84998,0.76056,0.84776,0.64896,0.74339,0.52145,0.79927,0.001882,0.001882,0.001882
126,0.69394,0.43736,0.79445,0.84294,0.76623,0.84808,0.64938,0.74295,0.52031,0.79924,0.001816,0.001816,0.001816
127,0.68621,0.42964,0.79361,0.84123,0.76646,0.84803,0.64983,0.7426,0.51989,0.79924,0.00175,0.00175,0.00175
128,0.68148,0.42418,0.79443,0.8462,0.76257,0.84792,0.65047,0.7431,0.51995,0.79912,0.001684,0.001684,0.001684
129,0.68824,0.42216,0.79456,0.84683,0.76374,0.84835,0.65071,0.74294,0.51937,0.79914,0.001618,0.001618,0.001618
130,0.67736,0.42268,0.79149,0.84771,0.7647,0.84905,0.65112,0.74262,0.51917,0.79915,0.001552,0.001552,0.001552
131,0.67469,0.41438,0.79207,0.85188,0.76416,0.84942,0.65076,0.74282,0.51831,0.79912,0.001486,0.001486,0.001486
132,0.68013,0.41839,0.7923,0.84649,0.76812,0.84935,0.651,0.74311,0.51806,0.79903,0.00142,0.00142,0.00142
133,0.66929,0.41608,0.79257,0.84371,0.77006,0.84932,0.65153,0.74326,0.51807,0.79909,0.001354,0.001354,0.001354
134,0.67082,0.41029,0.79261,0.85153,0.76727,0.84923,0.65047,0.74351,0.51707,0.79902,0.001288,0.001288,0.001288
135,0.66539,0.40544,0.79092,0.85083,0.76432,0.84939,0.65023,0.74382,0.51814,0.79904,0.001222,0.001222,0.001222
136,0.65846,0.40452,0.79154,0.845,0.76927,0.8492,0.6499,0.7435,0.51766,0.79905,0.001156,0.001156,0.001156
137,0.65952,0.40472,0.78982,0.82813,0.78571,0.84936,0.65024,0.74437,0.51845,0.79895,0.00109,0.00109,0.00109
138,0.66829,0.40452,0.79054,0.82798,0.78697,0.84948,0.65083,0.74419,0.51817,0.7989,0.001024,0.001024,0.001024
139,0.65854,0.39914,0.79206,0.83024,0.78535,0.84932,0.65123,0.74453,0.51807,0.79887,0.000958,0.000958,0.000958
140,0.64996,0.39565,0.79083,0.83259,0.78528,0.84934,0.65087,0.74443,0.51769,0.79887,0.000892,0.000892,0.000892
141,0.62878,0.35387,0.78955,0.82905,0.78748,0.84946,0.65217,0.74433,0.51821,0.79886,0.000826,0.000826,0.000826
142,0.62087,0.34765,0.78885,0.82772,0.78708,0.84948,0.65215,0.74458,0.51847,0.79889,0.00076,0.00076,0.00076
143,0.61849,0.34645,0.78756,0.82863,0.78805,0.84952,0.6517,0.7451,0.51907,0.79889,0.000694,0.000694,0.000694
144,0.62029,0.34625,0.78911,0.82412,0.7914,0.84963,0.65205,0.74537,0.51807,0.79886,0.000628,0.000628,0.000628
145,0.6082,0.3446,0.78768,0.82373,0.79245,0.84954,0.65161,0.74604,0.51829,0.79883,0.000562,0.000562,0.000562
146,0.60515,0.33342,0.78823,0.82385,0.79136,0.84989,0.65202,0.74633,0.51931,0.79882,0.000496,0.000496,0.000496
147,0.6088,0.33714,0.78743,0.82353,0.79165,0.84982,0.65269,0.7469,0.51899,0.79877,0.00043,0.00043,0.00043
148,0.60988,0.34292,0.78562,0.82384,0.7919,0.84999,0.65286,0.74695,0.51941,0.79876,0.000364,0.000364,0.000364
149,0.59646,0.33443,0.78574,0.82649,0.78919,0.84982,0.65234,0.7473,0.51999,0.79879,0.000298,0.000298,0.000298
150,0.59359,0.3306,0.78483,0.8271,0.78904,0.85062,0.65242,0.74769,0.52002,0.79878,0.000232,0.000232,0.000232
