                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.76028,                0.50306,                0.79915,                  0.842,                0.74638,                 0.8338,                0.63624,                0.76527,                0.57198,                0.80131,               0.005578,               0.005578,               0.005578
                     70,                0.76221,                0.51075,                0.79956,                0.84542,                0.76142,                0.84066,                0.64086,                0.76404,                0.56356,                0.80195,               0.005512,               0.005512,               0.005512
                     71,                0.75887,                0.50489,                0.80105,                0.84186,                 0.7647,                0.84286,                 0.6437,                0.76494,                0.55947,                 0.8015,               0.005446,               0.005446,               0.005446
                     72,                0.74818,                0.49438,                0.80091,                0.84073,                0.76823,                0.84113,                0.64135,                0.76332,                0.55856,                0.80076,                0.00538,                0.00538,                0.00538
                     73,                0.75004,                0.49297,                0.80123,                0.83546,                0.77086,                0.84265,                0.64259,                0.76333,                0.55575,                0.80137,               0.005314,               0.005314,               0.005314
                     74,                 0.7451,                0.49794,                0.79663,                0.83141,                0.77667,                  0.849,                0.64761,                0.76466,                0.55232,                0.80085,               0.005248,               0.005248,               0.005248
                     75,                0.74727,                0.50132,                0.79809,                0.85374,                0.76737,                0.84968,                0.64946,                0.76581,                0.54782,                0.80082,               0.005182,               0.005182,               0.005182
                     76,                0.73861,                 0.4834,                0.79992,                0.85915,                0.76006,                0.85155,                0.64873,                0.76713,                0.55169,                0.80081,               0.005116,               0.005116,               0.005116
                     77,                0.74392,                0.48432,                0.79991,                0.81271,                0.78922,                0.84858,                0.64605,                0.76787,                0.55162,                0.80118,                0.00505,                0.00505,                0.00505
                     78,                0.73925,                0.48211,                0.79751,                0.82522,                0.78807,                0.85145,                0.64743,                 0.7645,                0.54775,                 0.8012,               0.004984,               0.004984,               0.004984
                     79,                0.74505,                0.48034,                0.80062,                0.83009,                0.77849,                0.85124,                0.64936,                0.76536,                0.54568,                0.80145,               0.004918,               0.004918,               0.004918
                     80,                0.73294,                0.48062,                0.80205,                0.82268,                0.79161,                0.85418,                0.65104,                 0.7637,                0.54258,                0.80117,               0.004852,               0.004852,               0.004852
                     81,                0.73471,                 0.4767,                0.79985,                0.86206,                0.75895,                0.85057,                0.64396,                0.76503,                0.54496,                0.80165,               0.004786,               0.004786,               0.004786
                     82,                0.72993,                0.46665,                0.79851,                0.86244,                 0.7536,                0.85026,                0.64649,                0.76396,                0.54481,                0.80133,                0.00472,                0.00472,                0.00472
                     83,                0.73369,                0.47137,                0.80112,                0.85047,                0.76317,                0.84988,                0.64663,                0.76216,                0.54536,                0.80106,               0.004654,               0.004654,               0.004654
                     84,                0.71456,                0.46986,                0.79824,                0.83188,                0.78464,                0.84897,                0.64707,                0.76091,                0.54521,                0.80036,               0.004588,               0.004588,               0.004588
                     85,                0.72211,                0.46955,                0.79886,                0.84434,                0.77022,                0.84797,                0.64562,                0.76129,                0.54455,                0.80024,               0.004522,               0.004522,               0.004522
                     86,                0.71616,                 0.4591,                0.79648,                0.85083,                0.76162,                0.84784,                0.64602,                0.76359,                0.54888,                0.80026,               0.004456,               0.004456,               0.004456
                     87,                0.71982,                0.46061,                0.79516,                0.84057,                0.76984,                0.84786,                0.64669,                 0.7628,                0.54598,                0.79988,                0.00439,                0.00439,                0.00439
                     88,                 0.7265,                0.46484,                0.79672,                 0.8282,                0.79136,                0.85089,                0.64779,                0.76181,                0.54506,                0.79963,               0.004324,               0.004324,               0.004324
                     89,                0.70912,                0.45171,                0.79734,                0.84308,                0.78197,                0.85268,                0.65011,                0.76085,                0.54124,                0.79964,               0.004258,               0.004258,               0.004258
                     90,                0.70041,                 0.4468,                0.79661,                0.85715,                 0.7817,                0.85411,                0.65166,                0.75848,                0.53672,                0.79974,               0.004192,               0.004192,               0.004192
                     91,                 0.7102,                0.45669,                0.79578,                0.86142,                0.78057,                0.85367,                0.65229,                0.75918,                 0.5348,                0.80008,               0.004126,               0.004126,               0.004126
                     92,                0.70056,                0.44951,                0.79684,                0.85422,                0.78363,                0.85259,                0.65174,                0.76107,                0.53904,                0.80006,                0.00406,                0.00406,                0.00406
                     93,                0.70689,                0.44153,                0.79401,                0.85404,                0.78224,                0.85257,                0.65296,                0.76048,                0.54046,                0.80002,               0.003994,               0.003994,               0.003994
                     94,                 0.7004,                0.44619,                 0.7944,                0.83422,                0.79604,                0.85263,                0.65214,                0.76002,                0.53815,                0.80006,               0.003928,               0.003928,               0.003928
                     95,                0.70739,                0.44828,                0.79426,                0.85515,                0.78393,                0.85498,                0.65377,                0.75956,                0.53292,                0.79987,               0.003862,               0.003862,               0.003862
                     96,                0.69472,                0.44175,                0.79751,                0.86312,                0.77351,                0.85525,                0.65541,                0.76107,                0.53405,                0.80032,               0.003796,               0.003796,               0.003796
                     97,                0.69475,                0.43698,                 0.7933,                0.85937,                0.77838,                0.85665,                0.65322,                0.76093,                0.53486,                0.80016,                0.00373,                0.00373,                0.00373
                     98,                0.68939,                0.43186,                0.79347,                0.87179,                 0.7709,                 0.8562,                0.65503,                0.75966,                0.53341,                0.79997,               0.003664,               0.003664,               0.003664
                     99,                0.68757,                0.43125,                0.79373,                0.87643,                0.77664,                0.85749,                0.65643,                0.75797,                0.52975,                0.79982,               0.003598,               0.003598,               0.003598
                    100,                0.68474,                0.42583,                0.79293,                0.87688,                0.77546,                0.85988,                 0.6585,                0.75794,                  0.528,                0.79991,               0.003532,               0.003532,               0.003532
                    101,                0.68999,                0.42158,                0.79259,                0.86726,                 0.7821,                0.86149,                0.66037,                0.75741,                0.52683,                0.79991,               0.003466,               0.003466,               0.003466
                    102,                 0.6808,                0.41767,                0.79176,                0.85741,                0.78465,                0.86088,                0.65896,                0.75883,                0.52859,                0.80001,                 0.0034,                 0.0034,                 0.0034
                    103,                0.68337,                0.42461,                0.79239,                0.86543,                0.77917,                0.86087,                0.65969,                0.75828,                0.52738,                0.79994,               0.003334,               0.003334,               0.003334
                    104,                0.68451,                0.42199,                0.79178,                0.87372,                0.77169,                0.86121,                0.65919,                 0.7586,                 0.5278,                0.79996,               0.003268,               0.003268,               0.003268
                    105,                0.68225,                0.41568,                0.79234,                0.86322,                0.77824,                 0.8624,                0.66027,                0.75847,                0.52717,                0.79998,               0.003202,               0.003202,               0.003202
                    106,                0.67791,                0.41757,                0.79138,                0.83977,                0.80091,                0.86132,                0.65919,                0.75933,                0.52713,                0.79991,               0.003136,               0.003136,               0.003136
                    107,                0.67583,                0.41084,                 0.7934,                0.85102,                0.79173,                0.86231,                0.65907,                0.75945,                0.52582,                0.79998,                0.00307,                0.00307,                0.00307
                    108,                 0.6733,                0.41586,                0.79057,                0.84386,                0.79869,                0.86394,                0.66014,                0.75987,                0.52647,                 0.7999,               0.003004,               0.003004,               0.003004
                    109,                 0.6673,                0.41212,                0.79065,                 0.8679,                 0.7788,                0.86407,                0.66123,                 0.7594,                0.52453,                0.79988,               0.002938,               0.002938,               0.002938
                    110,                0.66893,                0.40301,                0.78887,                0.86818,                0.77751,                0.86468,                 0.6627,                0.75894,                0.52386,                0.79997,               0.002872,               0.002872,               0.002872
                    111,                0.66294,                0.40218,                0.78908,                0.86812,                0.77868,                0.86443,                0.66201,                0.75942,                0.52434,                0.80012,               0.002806,               0.002806,               0.002806
                    112,                0.65465,                0.40248,                0.79089,                0.86607,                0.77874,                0.86434,                0.66048,                0.76031,                0.52505,                0.80025,                0.00274,                0.00274,                0.00274
                    113,                0.65104,                0.39691,                0.79247,                 0.8662,                0.77823,                0.86413,                0.66104,                0.75997,                0.52633,                0.80003,               0.002674,               0.002674,               0.002674
                    114,                0.65279,                0.39555,                0.79057,                0.86963,                0.77516,                0.86405,                0.66091,                0.76019,                0.52668,                0.80001,               0.002608,               0.002608,               0.002608
                    115,                  0.664,                0.40033,                0.78843,                0.86402,                 0.7814,                0.86446,                0.66155,                0.76103,                0.52588,                0.79994,               0.002542,               0.002542,               0.002542
                    116,                0.65392,                0.39682,                 0.7924,                0.85821,                0.78603,                0.86409,                0.66062,                0.76139,                0.52656,                0.79993,               0.002476,               0.002476,               0.002476
                    117,                0.65933,                0.39157,                0.79006,                0.86217,                 0.7848,                0.86473,                0.66097,                0.76116,                0.52614,                 0.7998,                0.00241,                0.00241,                0.00241
                    118,                0.64036,                0.38634,                0.78918,                0.85832,                  0.788,                0.86473,                0.66142,                 0.7612,                  0.525,                0.79965,               0.002344,               0.002344,               0.002344
                    119,                0.64339,                0.38732,                0.78769,                0.85715,                0.78715,                0.86469,                0.66121,                0.76087,                0.52564,                0.79966,               0.002278,               0.002278,               0.002278
                    120,                0.64099,                 0.3803,                0.79088,                0.84792,                0.79731,                0.86455,                0.66172,                0.76097,                0.52634,                0.79968,               0.002212,               0.002212,               0.002212
                    121,                0.64206,                0.38521,                0.78853,                0.84437,                0.79996,                0.86362,                0.66101,                  0.761,                0.52582,                0.79964,               0.002146,               0.002146,               0.002146
                    122,                0.63456,                0.37658,                0.78923,                0.84686,                0.80241,                0.86418,                 0.6622,                0.76114,                0.52574,                0.79956,                0.00208,                0.00208,                0.00208
                    123,                0.62539,                0.37429,                0.78825,                 0.8446,                 0.8032,                0.86433,                0.66244,                0.76122,                0.52678,                 0.7996,               0.002014,               0.002014,               0.002014
                    124,                0.63694,                0.37898,                0.78913,                0.83988,                0.80871,                0.86421,                0.66182,                0.76156,                0.52699,                0.79953,               0.001948,               0.001948,               0.001948
                    125,                0.63755,                 0.3736,                0.78799,                0.84565,                 0.8026,                0.86409,                0.66178,                0.76108,                0.52726,                0.79954,               0.001882,               0.001882,               0.001882
                    126,                0.63774,                0.37829,                0.78876,                0.84486,                0.80309,                0.86399,                0.66189,                0.76063,                0.52558,                0.79954,               0.001816,               0.001816,               0.001816
                    127,                0.62375,                  0.373,                0.78808,                0.84991,                0.79728,                0.86438,                0.66272,                0.76129,                0.52443,                0.79948,                0.00175,                0.00175,                0.00175
                    128,                0.62422,                 0.3716,                0.78603,                0.85696,                0.79322,                0.86487,                0.66318,                0.76092,                  0.525,                0.79949,               0.001684,               0.001684,               0.001684
                    129,                0.62102,                0.36668,                0.78562,                 0.8593,                0.79325,                0.86484,                0.66356,                0.76082,                0.52444,                0.79948,               0.001618,               0.001618,               0.001618
                    130,                 0.6201,                 0.3676,                0.78675,                0.86033,                0.79511,                0.86517,                0.66348,                0.76128,                0.52455,                0.79946,               0.001552,               0.001552,               0.001552
                    131,                   0.62,                0.36246,                0.78653,                0.86152,                0.79267,                0.86517,                0.66357,                0.76118,                0.52401,                 0.7994,               0.001486,               0.001486,               0.001486
                    132,                0.61252,                0.36122,                0.78687,                0.86317,                0.78996,                0.86521,                0.66413,                0.76127,                0.52379,                0.79943,                0.00142,                0.00142,                0.00142
                    133,                0.61195,                0.35847,                0.78851,                0.86755,                0.78586,                0.86545,                0.66415,                0.76102,                0.52319,                0.79941,               0.001354,               0.001354,               0.001354
                    134,                0.60955,                0.35356,                0.78569,                0.86906,                0.78581,                 0.8656,                0.66481,                 0.7611,                0.52299,                0.79945,               0.001288,               0.001288,               0.001288
                    135,                0.60792,                0.35422,                0.78718,                0.87011,                0.78614,                0.86571,                0.66554,                0.76104,                0.52291,                0.79954,               0.001222,               0.001222,               0.001222
                    136,                0.60854,                0.35315,                0.78293,                0.87169,                0.78327,                0.86542,                0.66525,                0.76113,                0.52436,                0.79973,               0.001156,               0.001156,               0.001156
                    137,                0.60081,                0.35098,                0.78556,                0.87033,                0.78384,                0.86523,                0.66498,                 0.7613,                0.52502,                0.79978,                0.00109,                0.00109,                0.00109
                    138,                0.59961,                0.34832,                0.78568,                0.87319,                 0.7827,                0.86516,                0.66472,                 0.7614,                0.52543,                0.79966,               0.001024,               0.001024,               0.001024
