                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.91579,                0.98438,                 0.8191,                0.60236,                0.55716,                0.61267,                0.45452,                0.83984,                0.90283,                0.81234,               0.008482,               0.008482,               0.008482
                     49,                0.92953,                  1.008,                0.82024,                0.61319,                0.56548,                0.61247,                0.45362,                0.84598,                0.90462,                0.81347,               0.008449,               0.008449,               0.008449
                     50,                0.94158,                0.99697,                0.82376,                0.65731,                0.57279,                0.62279,                0.46267,                0.83922,                 0.8767,                0.81274,               0.008416,               0.008416,               0.008416
                     51,                0.91907,                0.97236,                0.81823,                0.60898,                0.58709,                0.61981,                  0.461,                0.83421,                0.88342,                0.81169,               0.008383,               0.008383,               0.008383
                     52,                0.92502,                0.97852,                0.81918,                0.65066,                0.56456,                0.62888,                0.46862,                0.83168,                0.87852,                0.81151,                0.00835,                0.00835,                0.00835
                     53,                0.92728,                0.97461,                0.82361,                0.63923,                0.58636,                0.63568,                0.47581,                0.83221,                0.85663,                0.81267,               0.008317,               0.008317,               0.008317
                     54,                0.93163,                0.96464,                  0.823,                0.63685,                0.58885,                0.63675,                0.47391,                0.83215,                0.85286,                0.81227,               0.008284,               0.008284,               0.008284
                     55,                0.92997,                 0.9764,                0.82107,                0.66173,                0.55739,                0.63797,                0.47625,                0.82325,                0.83861,                0.81083,               0.008251,               0.008251,               0.008251
                     56,                0.91381,                0.94263,                 0.8188,                0.64576,                0.58885,                0.64205,                0.47968,                0.82379,                0.83359,                0.81078,               0.008218,               0.008218,               0.008218
                     57,                0.92378,                0.94882,                0.82022,                0.65222,                0.58787,                0.64229,                0.47628,                0.83056,                0.84696,                0.81183,               0.008185,               0.008185,               0.008185
                     58,                0.91419,                0.94047,                0.81868,                 0.6601,                0.56635,                0.63416,                0.47364,                 0.8243,                0.84133,                0.81029,               0.008152,               0.008152,               0.008152
                     59,                0.91684,                0.93643,                0.81924,                 0.6588,                0.59595,                0.64627,                 0.4809,                0.82809,                0.83922,                0.81191,               0.008119,               0.008119,               0.008119
                     60,                0.91297,                 0.9364,                0.81719,                0.67486,                0.60692,                0.65818,                0.49002,                0.82022,                0.81991,                0.81154,               0.008086,               0.008086,               0.008086
                     61,                0.90787,                0.90391,                 0.8219,                0.68266,                0.59732,                 0.6572,                0.49067,                0.81933,                0.81777,                  0.811,               0.008053,               0.008053,               0.008053
                     62,                0.90803,                0.92058,                0.82022,                  0.688,                0.58053,                0.65451,                 0.4883,                0.81673,                0.81336,                0.80972,                0.00802,                0.00802,                0.00802
                     63,                 0.9188,                0.92952,                0.82148,                0.70412,                0.58526,                0.67017,                0.49776,                0.81998,                0.80491,                0.80958,               0.007987,               0.007987,               0.007987
                     64,                0.91133,                0.91283,                0.82044,                 0.6802,                0.59809,                0.66967,                0.50126,                0.81101,                0.80041,                0.81016,               0.007954,               0.007954,               0.007954
                     65,                0.91532,                0.92868,                0.82159,                0.69661,                0.60137,                 0.6712,                0.50111,                 0.8094,                0.80033,                 0.8096,               0.007921,               0.007921,               0.007921
                     66,                0.91007,                0.89151,                0.82025,                0.71975,                0.58871,                 0.6755,                0.50494,                0.81368,                0.79001,                0.80978,               0.007888,               0.007888,               0.007888
                     67,                0.90846,                0.89763,                0.81659,                0.66948,                0.62912,                0.67695,                0.50861,                 0.8098,                0.78255,                0.80894,               0.007855,               0.007855,               0.007855
                     68,                0.90813,                0.88189,                 0.8201,                0.68823,                0.60823,                0.67252,                0.50528,                0.80936,                0.77911,                0.80988,               0.007822,               0.007822,               0.007822
                     69,                0.90393,                0.88739,                0.82097,                0.68411,                0.61685,                0.68078,                0.51298,                0.80533,                0.77242,                 0.8084,               0.007789,               0.007789,               0.007789
                     70,                0.89421,                0.85677,                0.81883,                0.68596,                0.61891,                0.68017,                0.51139,                 0.8026,                0.77028,                0.80777,               0.007756,               0.007756,               0.007756
